item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM000040,ORD00249,PROD0378,-1,64034.12,25.22
ITEM000041,ORD00668,PROD0420,-4,48955.62,10.37
ITEM000042,ORD00092,PROD0474,-1,24285.27,34.72
ITEM000043,ORD00946,PROD0391,-3,25022.5,42.79
ITEM000044,ORD00813,PROD0039,-1,18220.32,35.45
ITEM000045,ORD00280,PROD0335,-4,43071.95,3.41
ITEM000046,ORD01124,PROD0249,-4,20963.12,41.02
ITEM000047,ORD00331,PROD0175,-1,27517.6,8.86
ITEM000048,ORD00255,PROD0548,-4,10391.24,33.57
ITEM000049,ORD00023,PROD0280,-2,8138.35,8.9
ITEM000050,ORD01464,PROD0036,-5,13519.19,34.84
ITEM000051,ORD01301,PROD0536,-1,50909.37,15.42
ITEM000052,ORD00108,PROD0005,-1,30311.5,38.36
ITEM000053,ORD00512,PROD0384,-2,63613.43,0.8
ITEM000054,ORD00058,PROD0015,-3,53716.18,34.0
ITEM000055,ORD00130,PROD0226,-1,34573.32,41.52
ITEM000056,ORD00344,PROD0172,-1,13988.36,5.38
ITEM000057,ORD00670,PROD0331,-5,70681.45,31.23
ITEM000058,ORD01110,PROD0405,-4,53205.88,10.69
ITEM000059,ORD00731,PROD0332,-2,37735.51,32.7
ITEM000060,ORD00025,PROD0399,-2,65534.72,3.3
ITEM000061,ORD00571,PROD0378,-1,41754.97,10.93
ITEM000062,ORD00618,PROD0512,-1,32567.35,39.56
ITEM000063,ORD01166,PROD0176,-3,1698.4,29.99
ITEM000064,ORD01293,PROD0398,-2,60661.72,31.77
ITEM000065,ORD01409,PROD0326,-4,26489.87,0.88
ITEM000066,ORD01199,PROD0460,-4,4403.66,37.09
ITEM000067,ORD01032,PROD0014,-2,32368.57,37.95
ITEM000068,ORD00255,PROD0317,-2,45131.07,37.86
ITEM000069,ORD01270,PROD0082,-1,5419.24,24.94
ITEM000070,ORD00414,PROD0156,-4,31882.3,1.9
ITEM000071,ORD01486,PROD0455,-3,37136.62,15.88
ITEM000072,ORD00082,PROD0534,-4,7981.98,14.42
ITEM000073,ORD00049,PROD0235,-3,5366.17,10.29
ITEM000074,ORD00111,PROD0255,-2,56034.36,19.07
ITEM000075,ORD00659,PROD0188,-4,34594.72,3.23
ITEM000076,ORD01007,PROD0072,-2,31207.84,49.6
ITEM000077,ORD00419,PROD0129,-1,11314.1,27.44
ITEM000078,ORD00419,PROD0242,-5,14160.7,36.25
ITEM000079,ORD00638,PROD0169,-2,47874.63,8.82
ITEM000080,ORD00510,PROD0311,-3,53281.03,48.39
ITEM000081,ORD00413,PROD0279,-4,34845.09,48.63
ITEM000082,ORD00816,PROD0387,-2,54190.8,21.13
ITEM000083,ORD01249,PROD0444,-2,48830.52,39.68
ITEM000084,ORD00041,PROD0391,-4,26396.64,37.94
ITEM000085,ORD00615,PROD0551,-2,24737.62,8.78
ITEM000086,ORD00780,PROD0475,-3,6354.45,18.76
ITEM000087,ORD01242,PROD0493,-1,18914.68,35.74
ITEM000088,ORD00401,PROD0159,-2,23040.6,43.08
ITEM000089,ORD01496,PROD0384,-4,72763.55,20.79
ITEM000090,ORD00809,PROD0383,-4,62940.68,32.05
ITEM000091,ORD01205,PROD0073,-4,89010.64,49.62
ITEM000092,ORD00255,PROD0395,-5,42364.6,38.15
ITEM000093,ORD00523,PROD0357,-5,12132.01,31.75
ITEM000094,ORD00755,PROD0060,-4,87809.26,36.78
ITEM000095,ORD00497,PROD0490,-1,50544.31,18.07
ITEM000096,ORD01448,PROD0029,-2,22941.53,22.77
ITEM000097,ORD01395,PROD0151,-3,9587.66,28.92
ITEM000098,ORD01358,PROD0166,-1,14724.16,4.62
ITEM000099,ORD01458,PROD0394,-4,74477.46,48.71
ITEM000100,ORD00165,PROD0531,-2,50114.02,8.29
ITEM000101,ORD00875,PROD0259,-3,55220.4,26.66
ITEM000102,ORD00784,PROD0316,-4,1113.12,46.22
ITEM000103,ORD00183,PROD0112,-5,46254.78,17.22
ITEM000104,ORD00293,PROD0276,-2,40896.22,19.9
ITEM000105,ORD00631,PROD0007,-2,27630.52,0.08
ITEM000106,ORD00144,PROD0428,-5,27519.07,14.42
ITEM000107,ORD00883,PROD0175,-2,24022.45,35.2
ITEM000108,ORD00406,PROD0499,-2,38856.22,5.51
ITEM000109,ORD01162,PROD0218,-2,12395.28,37.5
ITEM000110,ORD00393,PROD0266,-4,2110.99,45.65
ITEM000111,ORD00224,PROD0171,-1,41167.8,18.89
ITEM000112,ORD00567,PROD0066,-3,22432.63,11.74
ITEM000113,ORD00994,PROD0104,-1,4616.72,37.59
ITEM000114,ORD00015,PROD0597,-1,39030.81,26.12
ITEM000115,ORD00015,PROD0385,-5,18697.02,48.1
ITEM000116,ORD00545,PROD0498,-4,40637.42,30.22
ITEM000117,ORD00690,PROD0380,-3,83020.33,40.84
ITEM000118,ORD00740,PROD0409,-4,368.57,48.77
ITEM000119,ORD00677,PROD0103,-1,33840.49,34.92
ITEM000120,ORD01486,PROD0143,-1,4151.82,43.45
ITEM000121,ORD00573,PROD0255,-3,51253.96,34.31
ITEM000122,ORD00974,PROD0528,-4,80566.95,0.16
ITEM000123,ORD01307,PROD0330,-1,67698.42,43.67
ITEM000124,ORD00667,PROD0455,-2,50072.15,20.01
ITEM000125,ORD01255,PROD0084,-3,24129.89,46.57
ITEM000126,ORD00976,PROD0103,-4,30554.34,9.75
ITEM000127,ORD00294,PROD0533,-5,90044.71,35.83
ITEM000128,ORD00066,PROD0131,-4,20374.2,15.07
ITEM000129,ORD01379,PROD0562,-4,28973.84,22.31
ITEM000130,ORD00237,PROD0494,-5,50821.51,10.58
ITEM000131,ORD01352,PROD0092,-1,66764.81,35.79
ITEM000132,ORD00329,PROD0335,-4,50176.23,11.02
ITEM000133,ORD00528,PROD0488,-1,60183.26,46.14
ITEM000134,ORD01298,PROD0504,-1,78378.21,16.64
ITEM000135,ORD00459,PROD0590,-5,29151.23,17.16
ITEM000136,ORD01470,PROD0391,-5,27823.17,21.85
ITEM000137,ORD00478,PROD0229,-3,26192.15,4.38
ITEM000138,ORD00183,PROD0349,-5,57122.15,37.23
ITEM000139,ORD00238,PROD0587,-3,60091.51,15.67
ITEM000140,ORD00779,PROD0591,-1,12517.93,29.5
ITEM000141,ORD00389,PROD0398,-4,60177.62,18.25
ITEM000142,ORD01392,PROD0130,-5,44962.0,29.54
ITEM000143,ORD00219,PROD0405,-1,69745.3,23.03
ITEM000144,ORD00297,PROD0304,-2,76773.28,22.79
ITEM000145,ORD01232,PROD0291,-2,21617.35,42.46
ITEM000146,ORD01440,PROD0036,-5,14496.42,25.12
ITEM000147,ORD01411,PROD0127,-3,66152.95,35.33
ITEM000148,ORD00980,PROD0221,-4,27738.41,48.32
ITEM000149,ORD00121,PROD0342,-2,69451.34,10.53
ITEM000150,ORD00461,PROD0054,-2,72151.95,36.37
ITEM000151,ORD00613,PROD0164,1,44867.94,16.87
ITEM000152,ORD01389,PROD0485,3,40491.53,19.55
ITEM000153,ORD01082,PROD0290,3,42479.95,9.75
ITEM000154,ORD01123,PROD0404,1,27588.76,37.61
ITEM000155,ORD01189,PROD0056,3,30847.37,8.18
ITEM000156,ORD00282,PROD0453,4,18959.61,7.24
ITEM000157,ORD00447,PROD0201,1,38719.74,42.81
ITEM000158,ORD00209,PROD0152,4,21763.2,21.36
ITEM000159,ORD00345,PROD0058,1,14275.3,23.69
ITEM000160,ORD00108,PROD0121,5,34548.45,29.67
ITEM000161,ORD00305,PROD0414,2,24352.07,12.04
ITEM000162,ORD01001,PROD0310,5,8503.67,32.64
ITEM000163,ORD00769,PROD0092,4,84089.5,32.52
ITEM000164,ORD00564,PROD0456,3,38371.06,5.83
ITEM000165,ORD00250,PROD0501,5,6818.23,29.34
ITEM000166,ORD01173,PROD0492,3,11094.21,4.73
ITEM000167,ORD01215,PROD0186,4,36132.99,32.23
ITEM000168,ORD00889,PROD0306,5,55818.22,16.26
ITEM000169,ORD01462,PROD0551,2,22681.74,35.04
ITEM000170,ORD00807,PROD0570,5,81473.6,26.5
ITEM000171,ORD00131,PROD0532,5,39075.86,40.94
ITEM000172,ORD01335,PROD0128,2,64412.34,44.88
ITEM000173,ORD00371,PROD0185,1,8029.11,40.03
ITEM000174,ORD00252,PROD0041,2,79277.27,32.63
ITEM000175,ORD00180,PROD0576,3,2932.28,1.75
ITEM000176,ORD00256,PROD0519,3,14434.01,27.22
ITEM000177,ORD00867,PROD0001,2,41599.18,47.31
ITEM000178,ORD01064,PROD0301,5,47568.78,28.85
ITEM000179,ORD01424,PROD0321,5,48133.22,49.84
ITEM000180,ORD01242,PROD0552,5,7841.0,4.95
ITEM000181,ORD00092,PROD0243,1,24774.69,14.99
ITEM000182,ORD00441,PROD0138,5,64661.73,29.59
ITEM000183,ORD00569,PROD0132,5,1826.81,27.49
ITEM000184,ORD00534,PROD0391,2,20624.92,4.16
ITEM000185,ORD00521,PROD0436,2,64675.09,3.53
ITEM000186,ORD00552,PROD0198,3,13653.6,32.39
ITEM000187,ORD01048,PROD0168,4,77939.45,15.82
ITEM000188,ORD00889,PROD0389,1,20483.51,12.37
ITEM000189,ORD00554,PROD0128,5,39220.62,27.42
ITEM000190,ORD00136,PROD0338,1,30903.81,16.68
ITEM000191,ORD00560,PROD0150,2,21676.74,4.9
ITEM000192,ORD00456,PROD0388,1,15125.85,6.18
ITEM000193,ORD01079,PROD0314,5,36859.46,24.48
ITEM000194,ORD01084,PROD0358,5,17603.23,27.58
ITEM000195,ORD01245,PROD0102,1,54747.18,47.33
ITEM000196,ORD00798,PROD0186,3,42949.03,33.89
ITEM000197,ORD01089,PROD0565,5,12542.18,20.13
ITEM000198,ORD01214,PROD0131,3,12429.3,25.68
ITEM000199,ORD00319,PROD0130,2,38168.89,36.77
ITEM000200,ORD00109,PROD0380,2,71016.45,20.91
ITEM000201,ORD00938,PROD0188,4,41253.33,39.92
ITEM000202,ORD01029,PROD0294,3,58039.74,26.03
ITEM000203,ORD01472,PROD0235,3,6370.54,4.35
ITEM000204,ORD00626,PROD0417,3,52752.35,31.73
ITEM000205,ORD00158,PROD0246,1,45244.04,2.87
ITEM000206,ORD00586,PROD0568,4,23785.35,0.53
ITEM000207,ORD00869,PROD0521,2,35611.71,25.75
ITEM000208,ORD01387,PROD0546,1,14964.73,30.81
ITEM000209,ORD00015,PROD0436,5,72538.67,12.21
ITEM000210,ORD01355,PROD0541,5,54873.89,22.43
ITEM000211,ORD00346,PROD0537,2,61270.18,18.35
ITEM000212,ORD00274,PROD0527,3,82193.59,21.14
ITEM000213,ORD00777,PROD0175,3,32974.45,16.9
ITEM000214,ORD01391,PROD0256,5,8164.56,42.89
ITEM000215,ORD00595,PROD0307,4,37144.04,10.65
ITEM000216,ORD01293,PROD0583,4,18218.84,15.24
ITEM000217,ORD01317,PROD0528,1,92344.62,44.62
ITEM000218,ORD01000,PROD0059,3,17824.4,23.02
ITEM000219,ORD00612,PROD0363,1,3065.59,44.51
ITEM000220,ORD00382,PROD0412,3,19916.24,21.54
ITEM000221,ORD00405,PROD0087,5,23704.46,7.69
ITEM000222,ORD00254,PROD0500,1,22876.29,32.83
ITEM000223,ORD00464,PROD0482,4,50238.92,18.22
ITEM000224,ORD00374,PROD0550,3,57777.44,21.93
ITEM000225,ORD00900,PROD0166,2,17330.48,21.7
ITEM000226,ORD00736,PROD0204,1,42494.24,2.01
ITEM000227,ORD00809,PROD0432,3,67291.38,8.02
ITEM000228,ORD00408,PROD0491,3,43528.77,24.45
ITEM000229,ORD01015,PROD0131,3,19912.72,39.02
ITEM000230,ORD00819,PROD0514,4,49019.12,47.88
ITEM000231,ORD00044,PROD0130,2,37342.11,0.68
ITEM000232,ORD01402,PROD0243,1,33386.69,17.11
ITEM000233,ORD01223,PROD0009,4,75071.78,14.11
ITEM000234,ORD00170,PROD0440,2,26056.88,36.46
ITEM000235,ORD00383,PROD0256,3,7833.53,43.21
ITEM000236,ORD01436,PROD0254,4,60173.44,35.32
ITEM000237,ORD00212,PROD0515,5,60259.22,49.63
ITEM000238,ORD01211,PROD0153,2,3796.59,20.06
ITEM000239,ORD00561,PROD0197,2,47656.38,30.82
ITEM000240,ORD00187,PROD0053,4,52644.16,15.32
ITEM000241,ORD01298,PROD0237,2,2442.98,23.96
ITEM000242,ORD01045,PROD0438,1,4993.06,13.46
ITEM000243,ORD00575,PROD0360,4,66106.96,44.76
ITEM000244,ORD00373,PROD0042,1,54748.09,37.24
ITEM000245,ORD00435,PROD0293,4,7819.45,30.33
ITEM000246,ORD00883,PROD0190,3,25615.46,18.18
ITEM000247,ORD00624,PROD0115,1,33799.09,34.15
ITEM000248,ORD00267,PROD0340,3,52398.04,18.07
ITEM000249,ORD01207,PROD0542,5,18824.71,32.51
ITEM000250,ORD00431,PROD0599,4,3405.7,5.32
ITEM000251,ORD01290,PROD0124,1,80814.98,45.61
ITEM000252,ORD01341,PROD0196,2,71270.94,46.28
ITEM000253,ORD00154,PROD0560,5,28565.4,36.27
ITEM000254,ORD00414,PROD0547,2,33359.01,9.59
ITEM000255,ORD01128,PROD0259,5,70428.14,44.75
ITEM000256,ORD00919,PROD0121,4,23802.08,20.95
ITEM000257,ORD01032,PROD0023,2,75460.7,34.84
ITEM000258,ORD00265,PROD0297,1,69485.03,3.04
ITEM000259,ORD01421,PROD0195,4,52971.03,26.62
ITEM000260,ORD01052,PROD0077,2,14030.37,25.46
ITEM000261,ORD01152,PROD0400,4,58612.97,10.35
ITEM000262,ORD00008,PROD0164,5,36500.08,34.84
ITEM000263,ORD01051,PROD0467,5,31845.9,26.25
ITEM000264,ORD00622,PROD0226,3,33055.06,27.61
ITEM000265,ORD00351,PROD0230,1,44777.2,14.59
ITEM000266,ORD01310,PROD0152,3,21531.3,13.52
ITEM000267,ORD00106,PROD0255,2,53785.12,0.07
ITEM000268,ORD00712,PROD0378,3,42270.28,35.27
ITEM000269,ORD01125,PROD0271,2,66433.91,30.57
ITEM000270,ORD00665,PROD0059,1,29697.15,10.96
ITEM000271,ORD00573,PROD0181,3,54590.93,26.87
ITEM000272,ORD01195,PROD0109,4,20192.87,12.87
ITEM000273,ORD01283,PROD0565,2,12153.71,11.03
ITEM000274,ORD00551,PROD0209,5,55623.57,42.91
ITEM000275,ORD00810,PROD0160,4,24712.45,36.31
ITEM000276,ORD00755,PROD0152,4,13181.54,9.08
ITEM000277,ORD00379,PROD0181,2,44588.94,47.17
ITEM000278,ORD00370,PROD0289,1,20195.17,44.26
ITEM000279,ORD00808,PROD0193,1,23420.61,21.32
ITEM000280,ORD00932,PROD0413,1,46893.84,6.86
ITEM000281,ORD00025,PROD0103,4,32370.73,5.5
ITEM000282,ORD00028,PROD0045,2,29348.24,4.18
ITEM000283,ORD00293,PROD0014,1,56744.64,5.32
ITEM000284,ORD00694,PROD0088,2,821.74,37.98
ITEM000285,ORD00910,PROD0168,3,59260.6,7.73
ITEM000286,ORD00115,PROD0557,3,29718.16,6.15
ITEM000287,ORD00092,PROD0106,5,34619.27,25.58
ITEM000288,ORD00851,PROD0146,1,5602.57,1.2
ITEM000289,ORD00875,PROD0395,2,48207.09,14.34
ITEM000290,ORD01402,PROD0394,1,66202.39,49.54
ITEM000291,ORD00460,PROD0105,3,4523.07,30.78
ITEM000292,ORD00243,PROD0370,1,72575.31,30.23
ITEM000293,ORD00365,PROD0439,5,51240.84,9.07
ITEM000294,ORD00871,PROD0154,3,73136.64,14.35
ITEM000295,ORD00213,PROD0278,4,21033.13,46.64
ITEM000296,ORD01457,PROD0079,1,71061.33,48.9
ITEM000297,ORD01344,PROD0151,3,8937.66,22.33
ITEM000298,ORD00980,PROD0069,1,911.17,47.98
ITEM000299,ORD00571,PROD0149,1,41633.56,6.38
ITEM000300,ORD00789,PROD0362,3,24403.82,24.06
ITEM000301,ORD00848,PROD0342,2,68579.22,32.7
ITEM000302,ORD00504,PROD0393,4,23179.03,26.94
ITEM000303,ORD01009,PROD0546,5,18788.74,19.23
ITEM000304,ORD01190,PROD0432,5,57050.67,34.67
ITEM000305,ORD00450,PROD0090,2,8552.4,10.16
ITEM000306,ORD00036,PROD0372,5,12965.81,6.68
ITEM000307,ORD00226,PROD0062,3,51553.36,42.47
ITEM000308,ORD00286,PROD0302,4,40540.73,42.67
ITEM000309,ORD00863,PROD0249,2,31542.02,2.79
ITEM000310,ORD00283,PROD0121,2,29517.69,1.32
ITEM000311,ORD00870,PROD0381,1,25892.19,33.14
ITEM000312,ORD00152,PROD0489,5,15585.85,1.51
ITEM000313,ORD00749,PROD0145,1,14449.01,0.62
ITEM000314,ORD00853,PROD0154,2,66999.21,7.01
ITEM000315,ORD01081,PROD0307,4,40035.09,16.87
ITEM000316,ORD01321,PROD0014,3,34712.8,3.0
ITEM000317,ORD01316,PROD0033,5,22024.95,25.16
ITEM000318,ORD00023,PROD0406,4,44217.19,43.8
ITEM000319,ORD01135,PROD0265,5,43108.19,35.47
ITEM000320,ORD00868,PROD0161,3,46883.19,26.08
ITEM000321,ORD00257,PROD0217,4,8130.03,10.95
ITEM000322,ORD00377,PROD0573,5,4143.34,40.83
ITEM000323,ORD00960,PROD0489,3,13963.9,20.25
ITEM000324,ORD00780,PROD0169,1,66096.3,32.33
ITEM000325,ORD00399,PROD0277,1,4702.27,18.14
ITEM000326,ORD00688,PROD0029,2,23264.35,27.08
ITEM000327,ORD00134,PROD0217,5,5445.13,45.48
ITEM000328,ORD00385,PROD0565,2,11090.03,1.62
ITEM000329,ORD00552,PROD0088,5,1078.6,28.19
ITEM000330,ORD00991,PROD0047,1,37309.78,47.18
ITEM000331,ORD00018,PROD0366,3,49702.41,25.01
ITEM000332,ORD00645,PROD0401,3,75298.46,35.13
ITEM000333,ORD00200,PROD0340,4,56540.19,25.18
ITEM000334,ORD01029,PROD0154,1,71648.44,19.11
ITEM000335,ORD01201,PROD0039,3,17114.57,34.12
ITEM000336,ORD00162,PROD0096,2,12826.33,40.37
ITEM000337,ORD01340,PROD0145,2,21818.63,25.08
ITEM000338,ORD01493,PROD0536,3,52704.21,6.56
ITEM000339,ORD00596,PROD0369,5,7902.75,21.55
ITEM000340,ORD01460,PROD0397,2,59176.35,30.52
ITEM000341,ORD00154,PROD0157,5,78397.29,24.88
ITEM000342,ORD00031,PROD0147,3,23144.67,48.45
ITEM000343,ORD00179,PROD0511,1,20580.84,8.49
ITEM000344,ORD00606,PROD0166,1,16520.89,18.17
ITEM000345,ORD00183,PROD0073,2,81646.19,23.04
ITEM000346,ORD00970,PROD0263,4,22854.44,7.02
ITEM000347,ORD00254,PROD0583,4,15967.94,42.95
ITEM000348,ORD00822,PROD0419,5,4843.64,6.45
ITEM000349,ORD00752,PROD0525,5,818.47,18.68
ITEM000350,ORD01398,PROD0424,5,51866.26,43.87
ITEM000351,ORD01398,PROD0044,5,70745.45,2.85
ITEM000352,ORD00502,PROD0575,1,50929.86,5.26
ITEM000353,ORD00770,PROD0163,5,58823.91,3.65
ITEM000354,ORD00796,PROD0474,1,29454.62,23.42
ITEM000355,ORD01096,PROD0477,1,18322.98,36.59
ITEM000356,ORD00813,PROD0444,2,38832.01,3.22
ITEM000357,ORD00702,PROD0498,2,39515.9,23.81
ITEM000358,ORD00571,PROD0466,1,68481.52,47.43
ITEM000359,ORD00299,PROD0219,3,65711.03,49.39
ITEM000360,ORD00779,PROD0064,3,79891.09,48.93
ITEM000361,ORD00438,PROD0056,2,38385.66,47.63
ITEM000362,ORD01401,PROD0434,3,15108.9,8.81
ITEM000363,ORD00291,PROD0071,3,20942.69,14.92
ITEM000364,ORD01459,PROD0463,4,46755.65,33.48
ITEM000365,ORD00532,PROD0189,1,13182.69,45.08
ITEM000366,ORD00701,PROD0305,2,25702.99,47.1
ITEM000367,ORD00987,PROD0487,5,63739.26,8.03
ITEM000368,ORD01427,PROD0448,3,66016.5,28.52
ITEM000369,ORD00021,PROD0575,5,52557.42,36.14
ITEM000370,ORD01185,PROD0149,3,50821.2,41.18
ITEM000371,ORD00649,PROD0015,2,55714.01,46.69
ITEM000372,ORD01023,PROD0325,1,12997.14,33.7
ITEM000373,ORD00539,PROD0534,1,9433.86,47.17
ITEM000374,ORD00258,PROD0461,5,56698.62,10.93
ITEM000375,ORD00385,PROD0431,5,21174.82,30.05
ITEM000376,ORD00443,PROD0357,2,13660.01,48.59
ITEM000377,ORD01182,PROD0015,3,53538.76,0.81
ITEM000378,ORD00629,PROD0515,1,82506.49,32.45
ITEM000379,ORD00934,PROD0424,4,48815.56,41.41
ITEM000380,ORD00873,PROD0536,3,42158.33,8.79
ITEM000381,ORD00878,PROD0383,2,65264.59,8.13
ITEM000382,ORD00893,PROD0391,3,26282.85,34.43
ITEM000383,ORD00896,PROD0291,5,23712.27,45.29
ITEM000384,ORD00204,PROD0090,1,7083.36,0.82
ITEM000385,ORD00843,PROD0107,4,13449.91,31.19
ITEM000386,ORD01116,PROD0103,4,34776.46,40.29
ITEM000387,ORD01368,PROD0297,4,45751.55,38.84
ITEM000388,ORD01130,PROD0391,1,18025.01,23.48
ITEM000389,ORD00255,PROD0360,4,73574.69,41.02
ITEM000390,ORD01442,PROD0406,1,50254.54,39.11
ITEM000391,ORD01040,PROD0291,3,23072.35,13.22
ITEM000392,ORD00850,PROD0248,1,41853.13,20.73
ITEM000393,ORD00032,PROD0027,2,47679.98,42.04
ITEM000394,ORD01063,PROD0326,3,28603.27,28.61
ITEM000395,ORD00881,PROD0248,5,43298.64,9.63
ITEM000396,ORD01320,PROD0403,1,24602.55,28.89
ITEM000397,ORD00264,PROD0400,2,52073.89,15.91
ITEM000398,ORD00325,PROD0448,2,40874.93,40.06
ITEM000399,ORD01033,PROD0122,5,69190.9,42.15
ITEM000400,ORD01285,PROD0267,5,5897.38,16.12
ITEM000401,ORD00191,PROD0096,1,10104.86,31.44
ITEM000402,ORD01216,PROD0157,1,77986.66,27.18
ITEM000403,ORD00162,PROD0586,4,45054.36,36.71
ITEM000404,ORD00930,PROD0367,2,45085.95,44.9
ITEM000405,ORD00609,PROD0199,5,15865.56,36.32
ITEM000406,ORD00775,PROD0267,1,6392.27,46.75
ITEM000407,ORD01285,PROD0024,5,69227.39,5.55
ITEM000408,ORD01221,PROD0126,1,23134.74,13.1
ITEM000409,ORD00370,PROD0096,1,10450.83,18.07
ITEM000410,ORD00426,PROD0401,1,58743.85,1.1
ITEM000411,ORD00151,PROD0499,1,32271.03,21.0
ITEM000412,ORD00643,PROD0462,2,7225.1,0.51
ITEM000413,ORD00366,PROD0581,5,27714.19,5.86
ITEM000414,ORD00703,PROD0356,4,51063.23,30.0
ITEM000415,ORD00011,PROD0163,5,71245.89,46.33
ITEM000416,ORD00395,PROD0031,5,36088.9,25.59
ITEM000417,ORD00313,PROD0222,3,59579.02,10.85
ITEM000418,ORD00671,PROD0142,2,35170.07,34.58
ITEM000419,ORD00260,PROD0275,3,4994.39,47.66
ITEM000420,ORD00714,PROD0565,3,10068.74,40.45
ITEM000421,ORD00894,PROD0525,4,807.29,12.5
ITEM000422,ORD00406,PROD0288,4,57522.05,39.66
ITEM000423,ORD01204,PROD0320,2,70119.39,47.69
ITEM000424,ORD01000,PROD0444,4,39363.33,37.35
ITEM000425,ORD00653,PROD0111,5,58445.17,9.99
ITEM000426,ORD00723,PROD0383,1,61464.48,44.47
ITEM000427,ORD01048,PROD0260,5,54359.54,30.19
ITEM000428,ORD01322,PROD0544,3,53663.33,5.73
ITEM000429,ORD00661,PROD0440,2,22376.46,3.63
ITEM000430,ORD01346,PROD0381,3,18403.5,15.72
ITEM000431,ORD00020,PROD0327,1,42228.49,10.69
ITEM000432,ORD01163,PROD0330,2,65067.2,19.28
ITEM000433,ORD01233,PROD0218,5,12539.19,28.05
ITEM000434,ORD01467,PROD0077,5,17875.44,21.09
ITEM000435,ORD00892,PROD0326,3,29173.02,2.48
ITEM000436,ORD01012,PROD0511,1,27152.01,21.06
ITEM000437,ORD00255,PROD0464,2,80237.76,29.56
ITEM000438,ORD00485,PROD0591,1,12307.57,32.18
ITEM000439,ORD01180,PROD0005,4,22894.92,42.08
ITEM000440,ORD00825,PROD0038,5,89938.91,1.96
ITEM000441,ORD01321,PROD0017,1,64075.03,41.49
ITEM000442,ORD00851,PROD0309,3,37257.54,17.29
ITEM000443,ORD00164,PROD0570,3,69707.46,2.35
ITEM000444,ORD00612,PROD0466,4,80245.42,48.36
ITEM000445,ORD00249,PROD0383,5,48718.05,11.2
ITEM000446,ORD00022,PROD0143,1,5043.2,43.07
ITEM000447,ORD01484,PROD0447,2,9591.24,9.56
ITEM000448,ORD00756,PROD0551,1,30050.88,43.4
ITEM000449,ORD00532,PROD0045,1,25350.04,15.21
ITEM000450,ORD00541,PROD0338,5,39264.35,18.98
ITEM000451,ORD01431,PROD0175,2,27163.55,6.0
ITEM000452,ORD00654,PROD0152,5,21136.13,48.29
ITEM000453,ORD00847,PROD0458,1,40708.31,12.03
ITEM000454,ORD00979,PROD0502,3,50261.51,36.54
ITEM000455,ORD00463,PROD0095,3,55065.09,35.57
ITEM000456,ORD00723,PROD0572,2,70255.98,36.76
ITEM000457,ORD00422,PROD0080,1,84555.26,3.01
ITEM000458,ORD00027,PROD0222,4,90937.88,9.4
ITEM000459,ORD00215,PROD0349,2,53862.81,38.08
ITEM000460,ORD01053,PROD0321,3,43568.79,32.76
